# LoadsDatabase  --  generated by composite_panel
# Units: N [N/m], M [N.m/m]
name,Nxx,Nyy,Nxy,Mxx,Myy,Mxy,source,eta,description
AW_M2p7_1p0g_eta15,-140781.77,-216.70,238468.00,9.75,0.00,0.00,CR-132575,0.1500,Arrow-Wing M2.7 1.0g alt=20km a=3.0deg
AW_M2p7_1p0g_eta35,-197723.46,-216.70,232834.92,9.75,0.00,0.00,CR-132575,0.3500,Arrow-Wing M2.7 1.0g alt=20km a=3.0deg
AW_M2p7_1p0g_eta50,-396589.03,-216.70,219175.56,9.75,0.00,0.00,CR-132575,0.5000,Arrow-Wing M2.7 1.0g alt=20km a=3.0deg
AW_M2p7_1p0g_eta70,-238645.47,-216.70,143364.80,9.75,0.00,0.00,CR-132575,0.7000,Arrow-Wing M2.7 1.0g alt=20km a=3.0deg
AW_M2p7_1p0g_eta90,-67187.73,-216.70,60118.54,9.75,0.00,0.00,CR-132575,0.9000,Arrow-Wing M2.7 1.0g alt=20km a=3.0deg
AW_M2p7_2p5g_eta15,-351954.43,-541.75,596170.00,24.38,0.00,0.00,CR-132575,0.1500,Arrow-Wing M2.7 2.5g alt=20km a=7.5deg
AW_M2p7_2p5g_eta35,-494308.64,-541.75,582087.30,24.38,0.00,0.00,CR-132575,0.3500,Arrow-Wing M2.7 2.5g alt=20km a=7.5deg
AW_M2p7_2p5g_eta50,-991472.58,-541.75,547938.89,24.38,0.00,0.00,CR-132575,0.5000,Arrow-Wing M2.7 2.5g alt=20km a=7.5deg
AW_M2p7_2p5g_eta70,-596613.67,-541.75,358412.00,24.38,0.00,0.00,CR-132575,0.7000,Arrow-Wing M2.7 2.5g alt=20km a=7.5deg
AW_M2p7_2p5g_eta90,-167969.33,-541.75,150296.34,24.38,0.00,0.00,CR-132575,0.9000,Arrow-Wing M2.7 2.5g alt=20km a=7.5deg
AW_M2p7_m1p0g_eta15,140781.77,216.70,238468.00,9.75,0.00,0.00,CR-132575,0.1500,Arrow-Wing M2.7 -1.0g alt=20km a=-3.0deg
AW_M2p7_m1p0g_eta35,197723.46,216.70,232834.92,9.75,0.00,0.00,CR-132575,0.3500,Arrow-Wing M2.7 -1.0g alt=20km a=-3.0deg
AW_M2p7_m1p0g_eta50,396589.03,216.70,219175.56,9.75,0.00,0.00,CR-132575,0.5000,Arrow-Wing M2.7 -1.0g alt=20km a=-3.0deg
AW_M2p7_m1p0g_eta70,238645.47,216.70,143364.80,9.75,0.00,0.00,CR-132575,0.7000,Arrow-Wing M2.7 -1.0g alt=20km a=-3.0deg
AW_M2p7_m1p0g_eta90,67187.73,216.70,60118.54,9.75,0.00,0.00,CR-132575,0.9000,Arrow-Wing M2.7 -1.0g alt=20km a=-3.0deg
AW_M1p6_2p5g_eta15,-351954.43,-845.30,596170.00,38.04,0.00,0.00,CR-132575,0.1500,Arrow-Wing M1.6 2.5g alt=12km a=5.0deg
AW_M1p6_2p5g_eta35,-494308.64,-845.30,582087.30,38.04,0.00,0.00,CR-132575,0.3500,Arrow-Wing M1.6 2.5g alt=12km a=5.0deg
AW_M1p6_2p5g_eta50,-991472.58,-845.30,547938.89,38.04,0.00,0.00,CR-132575,0.5000,Arrow-Wing M1.6 2.5g alt=12km a=5.0deg
AW_M1p6_2p5g_eta70,-596613.67,-845.30,358412.00,38.04,0.00,0.00,CR-132575,0.7000,Arrow-Wing M1.6 2.5g alt=12km a=5.0deg
AW_M1p6_2p5g_eta90,-167969.33,-845.30,150296.34,38.04,0.00,0.00,CR-132575,0.9000,Arrow-Wing M1.6 2.5g alt=12km a=5.0deg
AW_M0p8_2p5g_eta15,-351954.43,-671.12,612425.09,30.20,0.00,0.00,CR-132575,0.1500,Arrow-Wing M0.8 2.5g alt=11km a=6.0deg
AW_M0p8_2p5g_eta35,-494308.64,-671.12,598882.38,30.20,0.00,0.00,CR-132575,0.3500,Arrow-Wing M0.8 2.5g alt=11km a=6.0deg
AW_M0p8_2p5g_eta50,-991472.58,-671.12,565067.73,30.20,0.00,0.00,CR-132575,0.5000,Arrow-Wing M0.8 2.5g alt=11km a=6.0deg
AW_M0p8_2p5g_eta70,-596613.67,-671.12,369833.51,30.20,0.00,0.00,CR-132575,0.7000,Arrow-Wing M0.8 2.5g alt=11km a=6.0deg
AW_M0p8_2p5g_eta90,-167969.33,-671.12,155430.03,30.20,0.00,0.00,CR-132575,0.9000,Arrow-Wing M0.8 2.5g alt=11km a=6.0deg
AW_M0p6_1p8g_eta15,-253407.19,-689.57,440946.06,31.03,0.00,0.00,CR-132575,0.1500,Arrow-Wing M0.6 1.8g alt=3km a=5.0deg
AW_M0p6_1p8g_eta35,-355902.22,-689.57,431195.31,31.03,0.00,0.00,CR-132575,0.3500,Arrow-Wing M0.6 1.8g alt=3km a=5.0deg
AW_M0p6_1p8g_eta50,-713860.26,-689.57,406848.77,31.03,0.00,0.00,CR-132575,0.5000,Arrow-Wing M0.6 1.8g alt=3km a=5.0deg
AW_M0p6_1p8g_eta70,-429561.85,-689.57,266280.13,31.03,0.00,0.00,CR-132575,0.7000,Arrow-Wing M0.6 1.8g alt=3km a=5.0deg
AW_M0p6_1p8g_eta90,-120937.92,-689.57,111909.62,31.03,0.00,0.00,CR-132575,0.9000,Arrow-Wing M0.6 1.8g alt=3km a=5.0deg
AW_M0p3_2p5g_eta15,-351954.43,-420.45,612425.09,18.92,0.00,0.00,CR-132575,0.1500,Arrow-Wing M0.3 2.5g alt=0km a=10.0deg
AW_M0p3_2p5g_eta35,-494308.64,-420.45,598882.38,18.92,0.00,0.00,CR-132575,0.3500,Arrow-Wing M0.3 2.5g alt=0km a=10.0deg
AW_M0p3_2p5g_eta50,-991472.58,-420.45,565067.73,18.92,0.00,0.00,CR-132575,0.5000,Arrow-Wing M0.3 2.5g alt=0km a=10.0deg
AW_M0p3_2p5g_eta70,-596613.67,-420.45,369833.51,18.92,0.00,0.00,CR-132575,0.7000,Arrow-Wing M0.3 2.5g alt=0km a=10.0deg
AW_M0p3_2p5g_eta90,-167969.33,-420.45,155430.03,18.92,0.00,0.00,CR-132575,0.9000,Arrow-Wing M0.3 2.5g alt=0km a=10.0deg
