"section","np","x_over_c","eta","z_over_c","cp","surface","source"
"1","12","0.9503","0.2","-0.00726","0.101","lower","NASA Glenn ONERA M6 test 2308"
"1","11","0.81597","0.2","-0.02193","-0.079","lower","NASA Glenn ONERA M6 test 2308"
"1","10","0.66593","0.2","-0.03587","-0.171","lower","NASA Glenn ONERA M6 test 2308"
"1","9","0.56588","0.2","-0.04301","-0.229","lower","NASA Glenn ONERA M6 test 2308"
"1","8","0.46599","0.2","-0.04773","-0.263","lower","NASA Glenn ONERA M6 test 2308"
"1","7","0.3658","0.2","-0.04889","-0.215","lower","NASA Glenn ONERA M6 test 2308"
"1","6","0.26579","0.2","-0.04702","-0.164","lower","NASA Glenn ONERA M6 test 2308"
"1","5","0.16594","0.2","-0.04194","-0.092","lower","NASA Glenn ONERA M6 test 2308"
"1","4","0.04993","0.2","-0.02971","-0.046","lower","NASA Glenn ONERA M6 test 2308"
"1","3","0.02002","0.2","-0.02268","-0.034","lower","NASA Glenn ONERA M6 test 2308"
"1","2","0.00593","0.2","-0.01333","0.549","lower","NASA Glenn ONERA M6 test 2308"
"1","1","0.00034","0.2","0.00292","0.801","upper","NASA Glenn ONERA M6 test 2308"
"1","34","0.00216","0.2","0.00802","0.444","upper","NASA Glenn ONERA M6 test 2308"
"1","33","0.00866","0.2","0.01592","-0.168","upper","NASA Glenn ONERA M6 test 2308"
"1","32","0.02037","0.2","0.02285","-0.707","upper","NASA Glenn ONERA M6 test 2308"
"1","31","0.03525","0.2","0.02701","-1.069","upper","NASA Glenn ONERA M6 test 2308"
"1","30","0.06036","0.2","0.0313","-0.629","upper","NASA Glenn ONERA M6 test 2308"
"1","29","0.09959","0.2","0.03617","-0.465","upper","NASA Glenn ONERA M6 test 2308"
"1","28","0.15037","0.2","0.0408","-0.442","upper","NASA Glenn ONERA M6 test 2308"
"1","27","0.20044","0.2","0.04413","-0.455","upper","NASA Glenn ONERA M6 test 2308"
"1","26","0.25039","0.2","0.04647","-0.459","upper","NASA Glenn ONERA M6 test 2308"
"1","25","0.3005","0.2","0.048","-0.462","upper","NASA Glenn ONERA M6 test 2308"
"1","24","0.3505","0.2","0.04879","-0.48","upper","NASA Glenn ONERA M6 test 2308"
"1","23","0.40047","0.2","0.04886","-0.505","upper","NASA Glenn ONERA M6 test 2308"
"1","22","0.4503","0.2","0.04812","-0.547","upper","NASA Glenn ONERA M6 test 2308"
"1","21","0.50039","0.2","0.04648","-0.576","upper","NASA Glenn ONERA M6 test 2308"
"1","20","0.55025","0.2","0.04394","-0.58","upper","NASA Glenn ONERA M6 test 2308"
"1","19","0.60029","0.2","0.04075","-0.397","upper","NASA Glenn ONERA M6 test 2308"
"1","18","0.65032","0.2","0.03711","-0.307","upper","NASA Glenn ONERA M6 test 2308"
"1","17","0.71026","0.2","0.03219","-0.238","upper","NASA Glenn ONERA M6 test 2308"
"1","16","0.78026","0.2","0.02561","-0.16","upper","NASA Glenn ONERA M6 test 2308"
"1","15","0.85021","0.2","0.01814","-0.058","upper","NASA Glenn ONERA M6 test 2308"
"1","14","0.92027","0.2","0.01021","0.059","upper","NASA Glenn ONERA M6 test 2308"
"1","13","0.98518","0.2","0.00265","0.176","upper","NASA Glenn ONERA M6 test 2308"
"2","12","0.94937","0.44","-0.00735","0.143","lower","NASA Glenn ONERA M6 test 2308"
"2","11","0.81705","0.44","-0.02182","-0.036","lower","NASA Glenn ONERA M6 test 2308"
"2","10","0.66698","0.44","-0.03579","-0.151","lower","NASA Glenn ONERA M6 test 2308"
"2","9","0.56705","0.44","-0.04294","-0.228","lower","NASA Glenn ONERA M6 test 2308"
"2","8","0.46706","0.44","-0.04769","-0.269","lower","NASA Glenn ONERA M6 test 2308"
"2","7","0.36705","0.44","-0.04889","-0.233","lower","NASA Glenn ONERA M6 test 2308"
"2","6","0.26705","0.44","-0.04706","-0.181","lower","NASA Glenn ONERA M6 test 2308"
